Model,Accuracy,95% Confidence Interval
story_analogies_far_logits_mistral7b_basic_prompt.csv,0.67,[0.49 - 0.81]
story_analogies_far_logits_mistral7b_cot.csv,0.66,[0.47 - 0.81]
story_analogies_far_logits_mistral7b_cot_structured.csv,0.83,[0.64 - 0.94]
story_analogies_far_logits_llama3_basic_prompt.csv,0.53,[0.35 - 0.70]
story_analogies_far_logits_llama3_cot.csv,0.64,[0.46 - 0.79]
story_analogies_far_logits_llama3_cot_structured.csv,0.69,[0.51 - 0.83]
story_analogies_far_logits_starling7b-beta_basic_prompt.csv,0.72,[0.55 - 0.86]
story_analogies_far_logits_starling7b-beta_cot.csv,0.75,[0.55 - 0.89]
story_analogies_far_logits_starling7b-beta_cot_structured.csv,0.61,[0.43 - 0.77]
